word,x,y
watashi,-0.0024483054,0.0008043758
kazoku   ,0.0035711748 ,-0.0007532405
shussan  ,0.0025444706  ,0.0012403829
kodomo  ,-0.0002902973 ,-0.0025225048
okane   ,-0.0032305952  ,0.0061765706
kenko    ,0.0037980083  ,0.0012071146
asa  ,-0.0015006359 ,-0.0008727221
hiru ,0.0010825286  ,0.0020592073
yugataf    ,0.0004565660 ,-0.0017968199
yoru ,-0.0002576752  ,0.0001544657
