word,x,y
watashi,-2.278999e-03,0.0007897942
kazoku  ,3.249140e-03,-0.0007129512
shussan  ,  2.398246e-03,  0.0011540774
kodomo  ,  -2.769214e-04, -0.0022359894
okene  ,   -3.041702e-03,  0.0060414141
kenko ,     3.538545e-03,  0.0012597734
0-6  ,  -1.456243e-03, -0.0002395251
6-12   , 1.030478e-03,  0.0022384617
12-18 , 4.326912e-04, -0.0019465056
18-24,   -2.305478e-04, -0.0001983318
Neg ,      6.110906e-05,  0.0001687266
Pos,      -1.132085e-03, -0.0031257686
