word,x,y
watashi,   -0.0032091005  ,0.0008540851
danna,     0.0034302194  ,0.0022706082
kodomo,     0.0010194339  ,0.0043367568
oya,     -0.0043285546,  0.0027098729
0-6, -0.0029642667,  0.0027529763
6-12,     0.0017164335, -0.0012162243
12-18,    0.0014532813, -0.0027401046
18-24,   -0.0005572047,  0.0011330151
